Bedroom,Bath,Area_sqft,Log_area_sqft,Area_per_bedroom,Bath_bedroom_ratio,Location_median_ppsf,Type_target_enc,City_target_enc,Source_OLX,Price_pkr,Log_price
3.0,4.0,1953.0,7.577121931,651.0,1.333333333,27527.52753,16.74009781756667,17.38481072169611,0,52500000,17.77632373
3.0,3.0,1361.25,7.216158674,453.75,1.0,16639.11846,17.52449479365033,17.2241481738,0,26000000,17.0736071
4.0,5.0,720.0,6.579251212,180.0,1.25,26388.88889,17.52449479365033,17.38481072169611,0,19000000,16.75994954
5.0,5.0,5445.0,8.602453035,1089.0,1.0,15861.09024,17.52449479365033,17.48107115846154,1,3000000,14.91412285
4.0,5.0,4500.0,8.411832676,1125.0,1.25,22000.0,18.00816093799353,17.38481072169611,1,110000000,18.51599092
0.0,0.0,1361.25,7.216158674,1361.25,0.0,15861.09024,16.89827182589474,17.48107115846154,1,6000000,15.60727003
2.0,2.0,1197.9,7.088325303,598.95,1.0,19283.74656,17.30156670857143,17.63082525563043,0,14800000,16.51013774
6.0,4.0,2722.5,7.909305855,453.75,0.666666667,11019.28375,17.52449479365033,17.30474131619205,0,30000000,17.21670794
2.0,2.0,550.0,6.309918278,275.0,1.0,6148.148148,18.00816093799353,17.38481072169611,1,3300000,15.00943303
5.0,6.0,2178.0,7.686162303,435.6,1.2,19283.74656,18.00816093799353,17.63082525563043,0,39500000,17.49181123
4.0,4.0,3539.25,8.171670119,884.8125,1.0,12629.794445,17.30156670857143,17.48107115846154,0,46500000,17.65496287
2.0,2.0,2150.775,7.673583521,1075.3875,1.0,19283.74656,18.00816093799353,17.63082525563043,0,25000000,17.03438638
0.0,0.0,2722.5,7.909305855,2722.5,0.0,15861.09024,16.89827182589474,17.48107115846154,1,14500000,16.48965921
3.0,4.0,1361.25,7.216158674,453.75,1.333333333,12488.52158,17.52449479365033,17.30474131619205,0,17000000,16.6487239
3.0,3.0,1152.0,7.049254841,384.0,1.0,24334.251605,16.74009781756667,17.38481072169611,0,32000000,17.28124646
6.0,6.0,2178.0,7.686162303,363.0,1.0,19283.74656,17.52449479365033,17.63082525563043,0,52000000,17.76675428
5.0,5.0,5445.0,8.602453035,1089.0,1.0,23875.11478,17.52449479365033,17.30474131619205,0,145000000,18.7922443
4.0,5.0,1361.25,7.216158674,340.3125,1.25,12331.10324,17.52449479365033,17.0930370689899,0,17000000,16.6487239
3.0,4.0,1361.25,7.216158674,453.75,1.333333333,12511.47842,17.52449479365033,17.0930370689899,0,21000000,16.860033
3.0,3.0,2722.5,7.909305855,907.5,1.0,15861.09024,16.74009781756667,17.48107115846154,0,39000000,17.4790722
3.0,4.0,1361.25,7.216158674,453.75,1.333333333,19467.40129,17.52449479365033,17.48107115846154,0,26700000,17.10017412
4.0,5.0,2531.925,7.836735162,632.98125,1.25,15861.09024,17.52449479365033,17.48107115846154,0,67500000,18.02763816
3.0,4.0,3465.0,8.150467912,1155.0,1.333333333,54920.63492,17.30156670857143,17.38481072169611,0,201700000,19.122292
2.0,2.0,1088.0,6.992096427,544.0,1.0,19283.74656,16.74009781756667,17.63082525563043,1,16500000,16.61887094
5.0,7.0,5445.0,8.602453035,1089.0,1.4,17171.71717,17.52449479365033,17.48107115846154,0,63000000,17.95864528
3.0,3.0,1296.0,7.167037877,432.0,1.0,22000.0,18.00816093799353,17.38481072169611,1,7300000,15.80338491
0.0,0.0,2722.5,7.909305855,2722.5,0.0,19283.74656,16.7407250003125,17.63082525563043,1,23500000,16.97251098
5.0,6.0,3267.0,8.091627412,653.4,1.2,15861.09024,17.52449479365033,17.48107115846154,1,38000000,17.45309672
5.0,6.0,2722.5,7.909305855,544.5,1.2,14954.74223,18.00816093799353,17.2241481738,0,25000000,17.03438638
5.0,6.0,3267.0,8.091627412,653.4,1.2,12511.47842,17.52449479365033,17.0930370689899,0,48800000,17.70324087
2.0,3.0,2069.1,7.634869009,1034.55,1.5,19283.74656,16.74009781756667,17.63082525563043,0,105000000,18.46947091
5.0,6.0,1905.75,7.552630911,381.15,1.2,19283.74656,18.00816093799353,17.63082525563043,1,32500000,17.29675065
4.0,5.0,1080.0,6.98471632,270.0,1.25,59444.444445,18.00816093799353,17.38481072169611,1,90000000,18.31532023
3.0,4.0,1361.25,7.216158674,453.75,1.333333333,17447.19927,17.52449479365033,17.30474131619205,0,28000000,17.14771507
6.0,6.0,5445.0,8.602453035,907.5,1.0,12511.47842,17.52449479365033,17.0930370689899,0,60000000,17.90985512
5.0,6.0,5445.0,8.602453035,1089.0,1.2,15861.09024,17.52449479365033,17.48107115846154,0,78500000,18.17860918
1.0,1.0,640.0,6.461468176,640.0,1.0,15861.09024,16.74009781756667,17.48107115846154,1,30300000,17.22665827
3.0,4.0,1361.25,7.216158674,453.75,1.333333333,13957.75941,17.52449479365033,17.2241481738,0,19000000,16.75994954
3.0,4.0,1361.25,7.216158674,453.75,1.333333333,13957.75941,17.52449479365033,17.2241481738,0,22500000,16.92902587
5.0,6.0,5445.0,8.602453035,1089.0,1.2,21120.29385,17.52449479365033,17.63082525563043,0,94000000,18.35880534
5.0,6.0,2722.5,7.909305855,544.5,1.2,20202.0202,17.52449479365033,17.30474131619205,0,80000000,18.19753719
5.0,5.0,3865.95,8.259962726,773.19,1.0,43503.21395999999,17.52449479365033,17.63082525563043,0,145000000,18.7922443
4.0,6.0,4083.75,8.314770963,1020.9375,1.5,12511.47842,17.52449479365033,17.0930370689899,0,35000000,17.37085862
